Keep Movin' Beats,DJ DUKE,124,233.34655328798186,/home/kaileen/Documents/CSC475/Project/music_repo/Keep Movin' Beats.wav
Day One (Guy J AM Mix),Dactilar,123,234.19646258503403,/home/kaileen/Documents/CSC475/Project/music_repo/01 Day One (Guy J AM Mix).m4a
King Bromeliad,Floating Points,116,532.5264399092971,/home/kaileen/Documents/CSC475/Project/music_repo/01 King Bromeliad.m4a
City Night,Ejeca,116,373.7948299319728,/home/kaileen/Documents/CSC475/Project/music_repo/04 City Night.m4a
All I Need,Daniel Avery,118,415.70684807256237,/home/kaileen/Documents/CSC475/Project/music_repo/08 All I Need.m4a
I Worked Hard for This (feat. Matty Pipes),Doorly,124,383.5936507936508,/home/kaileen/Documents/CSC475/Project/music_repo/12 I Worked Hard for This (feat. Matty Pipes).m4a
All Good,Paleman,126,269.0031746031746,/home/kaileen/Documents/CSC475/Project/music_repo/01 All Good.m4a
The Jungle,EDM,114,315.7681632653061,/home/kaileen/Documents/CSC475/Project/music_repo/03 The Jungle.m4a
A Moment Embalm'd,Solus,81,297.44761904761907,/home/kaileen/Documents/CSC475/Project/music_repo/02 A Moment Embalm'd.m4a
One More Time,Daft Punk,62,320.87655328798184,/home/kaileen/Documents/CSC475/Project/music_repo/01 One More Time.m4a
Sky Might Fall,Kid Cudi,98,220.89142857142858,/home/kaileen/Documents/CSC475/Project/music_repo/08 Sky Might Fall.m4a
Check Out Your Mind,Erol Alkan,130,421.55827664399095,/home/kaileen/Documents/CSC475/Project/music_repo/03 Check Out Your Mind.m4a
Do It Properly,Adonis,129,326.21714285714285,/home/kaileen/Documents/CSC475/Project/music_repo/04 Do It Properly.m4a
Two Chords Deep,Endian,124,381.0394557823129,/home/kaileen/Documents/CSC475/Project/music_repo/01 Two Chords Deep.m4a
Knowing We'll Be Here,Daniel Avery,120,342.8890702947846,/home/kaileen/Documents/CSC475/Project/music_repo/01 Knowing We'll Be Here.m4a
Alive,Daft Punk,130,316.2790022675737,/home/kaileen/Documents/CSC475/Project/music_repo/15 Alive.m4a
Zig Zag,Gerry Read,126,329.14285714285717,/home/kaileen/Documents/CSC475/Project/music_repo/03 Zig Zag.m4a
Vanished,Meshuggah,80,304.76190476190476,/home/kaileen/Documents/CSC475/Project/music_repo/05 Vanished.m4a
4000 Miles (feat. Damon C Scott),Oscar G & DMS12,124,313.6087074829932,/home/kaileen/Documents/CSC475/Project/music_repo/01 4000 Miles (feat. Damon C Scott).m4a
The 59th Street Bridge Song (Feelin' Groovy),Simon and Garfunkel,77,100.40308390022676,/home/kaileen/Documents/CSC475/Project/music_repo/The 59th Street Bridge Song (Feel.m4a
